code_moi,code_cu,ma_vat_lieu,ten_san_pham,nguon_ma,file_bom
SL000010HG-AL,SU010HG-AL,AL,Outdoor chaise lounge,Từ file BOM,BKQC - SU010HG-AL - 2504-1-US-PH-112 - Outdoor chaise lounge gray textilene.xlsx
SL000011HG-AL,SU011HG-AL,AL,Outdoor chaise lounge brown,Từ file BOM,BKQC - SU011HG-AL -  2504-1-US-PH-108 - Outdoor chaise lounge - brown .xlsx
TB000002HG-AL,T0002HG-AL,AL,Bàn 150 (210)x90 nan Polywood,Từ file BOM,BKQC - T0002HG-AL  Bàn 150(210)x90 nan Polywood.xlsx
TB000004HG-AL,T0004HG-AL,AL,Table 150(210)x90x75 Gạch vân ghỗ,Từ file BOM,BKQC - T0004HG-AL Table 150(210)x90 Gạch vân ghỗ.xlsx
TB000005HG-AL,T0005HG-AL,AL,Table 150x90x76 Nan nhôm dán giấy,Từ file BOM,BKQC  T0005HG-AL  Bàn 150x90x76 Nan nhôm dán giấy.xlsx
TB000006HG-AL,T0006HG-AL,AL,Table 150(210)x90x75 Nan nhôm,Từ file BOM,BKQC - T0006HG-AL Table 150(210)x90  Nan nhôm.xlsx
TB000007HG-AL,T0007HG-AL,AL,Rega Complete Table,Từ file BOM,BKQC - T0007HG-AL  Rega Complete Table.xlsx
TB000008HG-AL,T0008HG-AL,AL,BÀN 150 / 200 x90 x75 cm,Từ file BOM,BKQC - T0008HG-AL  BÀN 150-200x90 NANPOLYWOOD 21660-011.xlsx
TB000009HG-AL,T0009HG-AL,AL,BÀN 150 / 200 x90 x75 cm,Từ file BOM,BKQC - T0009HG-AL  BÀN 150-200x90 NANPOLYWOOD - 2 nan ngang.xlsx
TB000010HG-AL,T0010HG-AL,AL,Bàn 140 x 80 polywood,Từ file TỔNG HỢP,(chưa có file BOM)
TB000011HG-AL,T0011HG-AL,AL,"Bàn chữ nhật
Khung nhôm
Mặt bàn gỗ keo",Từ file TỔNG HỢP,(chưa có file BOM)
TB000012HG-AL,T0012HG-AL,AL,BÀN CN 150X90 TILOS Nan nhôm dán giấy,Từ file BOM,BKQC-T0012HG-AL  BÀN CN 150X90 TILOS-nan nhôm dán giấy.xlsx
